bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure
4,6,2,10,0.0001,101325,4,10,2,10,0.0001,101325,4,20,2,10,0.0001,101325,5,6,2,10,0.0001,101325,5,10,2,10,0.0001,101325,5,20,2,10,0.0001,101325,6,6,2,10,0.0001,101325,6,10,2,10,0.0001,101325,6,20,2,10,0.0001,101325,5,6,2,5,0.0001,101325,5,10,2,5,0.0001,101325,5,20,2,5,0.0001,101325,5,6,3,5,0.0001,101325,5,10,3,5,0.0001,101325,5,20,3,5,0.0001,101325,5,6,4,5,0.0001,101325,5,10,4,5,0.0001,101325,5,20,4,5,0.0001,101325
4,6,2,10,0.0002,101325,4,10,2,10,0.0002,101325,4,20,2,10,0.0002,101325,5,6,2,10,0.0002,101325,5,10,2,10,0.0002,101325,5,20,2,10,0.0002,101325,6,6,2,10,0.0002,101325,6,10,2,10,0.0002,101325,6,20,2,10,0.0002,101325,5,6,2,5,0.0002,101325,5,10,2,5,0.0002,101325,5,20,2,5,0.0002,101325,5,6,3,5,0.0002,101325,5,10,3,5,0.0002,101325,5,20,3,5,0.0002,101325,5,6,4,5,0.0002,101325,5,10,4,5,0.0002,101325,5,20,4,5,0.0002,101325
4,6,2,10,0.0003,101325,4,10,2,10,0.0003,101325,4,20,2,10,0.0003,101325,5,6,2,10,0.0003,101325,5,10,2,10,0.0003,101325,5,20,2,10,0.0003,101325,6,6,2,10,0.0003,101325,6,10,2,10,0.0003,101325,6,20,2,10,0.0003,101325,5,6,2,5,0.0003,101325,5,10,2,5,0.0003,101325,5,20,2,5,0.0003,101325,5,6,3,5,0.0003,101325,5,10,3,5,0.0003,101325,5,20,3,5,0.0003,101325,5,6,4,5,0.0003,101325,5,10,4,5,0.0003,101325,5,20,4,5,0.0003,101325
4,6,2,10,0.0004,101325,4,10,2,10,0.0004,101325,4,20,2,10,0.0004,101325,5,6,2,10,0.0004,101325,5,10,2,10,0.0004,101325,5,20,2,10,0.0004,101325,6,6,2,10,0.0004,101325,6,10,2,10,0.0004,101325,6,20,2,10,0.0004,101325,5,6,2,5,0.0004,101325,5,10,2,5,0.0004,101325,5,20,2,5,0.0004,101325,5,6,3,5,0.0004,101325,5,10,3,5,0.0004,101325,5,20,3,5,0.0004,101325,5,6,4,5,0.0004,101325,5,10,4,5,0.0004,101325,5,20,4,5,0.0004,101325
4,6,2,10,0.0005,101325,4,10,2,10,0.0005,101325,4,20,2,10,0.0005,101325,5,6,2,10,0.0005,101325,5,10,2,10,0.0005,101325,5,20,2,10,0.0005,101325,6,6,2,10,0.0005,101325,6,10,2,10,0.0005,101325,6,20,2,10,0.0005,101325,5,6,2,5,0.0005,101325,5,10,2,5,0.0005,101325,5,20,2,5,0.0005,101325,5,6,3,5,0.0005,101325,5,10,3,5,0.0005,101325,5,20,3,5,0.0005,101325,5,6,4,5,0.0005,101325,5,10,4,5,0.0005,101325,5,20,4,5,0.0005,101325
4,6,2,10,0.0006,101325,4,10,2,10,0.0006,101325,4,20,2,10,0.0006,101325,5,6,2,10,0.0006,101325,5,10,2,10,0.0006,101325,5,20,2,10,0.0006,101325,6,6,2,10,0.0006,101325,6,10,2,10,0.0006,101325,6,20,2,10,0.0006,101325,5,6,2,5,0.0006,101325,5,10,2,5,0.0006,101325,5,20,2,5,0.0006,101325,5,6,3,5,0.0006,101325,5,10,3,5,0.0006,101325,5,20,3,5,0.0006,101325,5,6,4,5,0.0006,101325,5,10,4,5,0.0006,101325,5,20,4,5,0.0006,101325
4,6,2,10,0.0007,101325,4,10,2,10,0.0007,101325,4,20,2,10,0.0007,101325,5,6,2,10,0.0007,101325,5,10,2,10,0.0007,101325,5,20,2,10,0.0007,101325,6,6,2,10,0.0007,101325,6,10,2,10,0.0007,101325,6,20,2,10,0.0007,101325,5,6,2,5,0.0007,101325,5,10,2,5,0.0007,101325,5,20,2,5,0.0007,101325,5,6,3,5,0.0007,101325,5,10,3,5,0.0007,101325,5,20,3,5,0.0007,101325,5,6,4,5,0.0007,101325,5,10,4,5,0.0007,101325,5,20,4,5,0.0007,101325
4,6,2,10,0.0008,101325,4,10,2,10,0.0008,101325,4,20,2,10,0.0008,101325,5,6,2,10,0.0008,101325,5,10,2,10,0.0008,101325,5,20,2,10,0.0008,101325,6,6,2,10,0.0008,101325,6,10,2,10,0.0008,101325,6,20,2,10,0.0008,101325,5,6,2,5,0.0008,101325,5,10,2,5,0.0008,101325,5,20,2,5,0.0008,101325,5,6,3,5,0.0008,101325,5,10,3,5,0.0008,101325,5,20,3,5,0.0008,101325,5,6,4,5,0.0008,101325,5,10,4,5,0.0008,101325,5,20,4,5,0.0008,101325
4,6,2,10,0.0009,101325,4,10,2,10,0.0009,101325,4,20,2,10,0.0009,101325,5,6,2,10,0.0009,101325,5,10,2,10,0.0009,101325,5,20,2,10,0.0009,101325,6,6,2,10,0.0009,101325,6,10,2,10,0.0009,101325,6,20,2,10,0.0009,101325,5,6,2,5,0.0009,101325,5,10,2,5,0.0009,101325,5,20,2,5,0.0009,101325,5,6,3,5,0.0009,101325,5,10,3,5,0.0009,101325,5,20,3,5,0.0009,101325,5,6,4,5,0.0009,101325,5,10,4,5,0.0009,101325,5,20,4,5,0.0009,101325
4,6,2,10,0.001,101325,4,10,2,10,0.001,101325,4,20,2,10,0.001,101325,5,6,2,10,0.001,101325,5,10,2,10,0.001,101325,5,20,2,10,0.001,101325,6,6,2,10,0.001,101325,6,10,2,10,0.001,101325,6,20,2,10,0.001,101325,5,6,2,5,0.001,101325,5,10,2,5,0.001,101325,5,20,2,5,0.001,101325,5,6,3,5,0.001,101325,5,10,3,5,0.001,101325,5,20,3,5,0.001,101325,5,6,4,5,0.001,101325,5,10,4,5,0.001,101325,5,20,4,5,0.001,101325
